PMC,Detector,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
67,B,0.3511,0.0361,24.1047,0.0315,0.4667,0.0,24.9,9.7,53541.2,41.4,931.9,0.0,406.04,267.56
68,A,0.153,0.0037,22.9256,0.0118,0.5711,0.0,10.7,1.0,50480.1,15.3,1124.4,0.0,405.99,265.21
68,B,0.5005,0.0,22.5663,0.0451,0.4753,0.0,36.0,0.0,50842.3,60.5,966.9,0.0,405.99,265.21
69,A,0.357,0.0868,25.5474,0.0277,0.3695,0.0025,24.6,22.7,54830.6,35.1,713.4,1.9,405.95,262.85
69,B,0.2843,0.018,26.2913,0.0435,0.3877,0.0024,20.2,4.9,58231.4,56.6,769.0,1.8,405.95,262.85
70,A,0.2772,0.0573,25.2916,0.0575,0.6042,0.0065,19.3,15.3,55457.8,74.7,1190.6,4.9,405.89,260.5
70,B,0.5297,0.0371,24.9158,0.0,0.6133,0.002,37.4,9.9,55115.3,0.0,1227.5,1.5,405.89,260.5
71,A,0.4619,0.0326,22.3555,0.0348,0.5726,0.0074,32.4,8.7,49316.6,45.8,1142.3,5.5,405.85,258.15
71,B,0.318,0.0,24.268,0.0561,0.7244,0.0,22.4,0.0,54056.2,74.2,1450.6,0.0,405.85,258.15
72,A,0.3054,0.0263,22.3226,0.1642,1.0519,0.0072,21.1,6.9,49315.4,219.1,2099.9,5.4,405.8,255.82
72,B,0.351,0.0243,22.1467,0.1161,1.0501,0.0126,24.6,6.5,49579.5,157.2,2128.6,9.5,405.8,255.82
73,A,0.3046,0.0169,18.0126,0.2244,1.7044,0.0264,20.5,4.3,40000.2,311.2,3462.1,19.2,405.75,253.48
73,B,0.4403,0.0314,18.4305,0.179,1.8114,0.0266,30.3,8.2,41751.0,254.8,3778.3,19.5,405.75,253.48
74,A,0.2201,0.0314,16.0112,0.2528,2.8466,0.0621,14.2,7.8,35682.4,368.6,5895.3,43.4,405.71,251.14
74,B,0.4217,0.0176,15.6297,0.2305,2.7574,0.0432,28.0,4.4,35629.0,345.4,5878.1,30.6,405.71,251.14
75,A,0.4272,0.0196,17.7504,0.2278,2.6813,0.0297,28.2,4.9,39710.5,329.7,5571.8,21.0,405.66,248.82
75,B,0.5079,0.0419,17.6307,0.2458,2.6147,0.0339,34.2,10.6,40114.4,362.7,5544.8,24.3,405.66,248.82
76,A,0.5042,0.0278,27.1331,0.0,0.4189,0.0,35.5,7.4,59375.2,0.0,826.0,0.0,405.61,246.49
76,B,0.4494,0.0181,26.994,0.0421,0.4096,0.0,31.9,4.9,59636.4,54.9,813.7,0.0,405.61,246.49
77,A,0.2714,0.0181,29.174,0.0,0.0403,0.0,19.2,4.9,63818.7,0.0,78.7,0.0,405.57,244.16
77,B,0.4924,0.0578,31.0022,0.0,0.0316,0.0,32.9,14.6,63651.6,0.0,58.2,0.0,405.57,244.16
78,A,0.623,0.0857,31.0594,0.0,0.0069,0.0,41.9,21.7,64137.5,0.0,12.8,0.0,405.52,241.84
78,B,0.6968,0.0779,33.9064,0.0,0.0611,0.0,42.1,17.7,62863.8,0.0,102.0,0.0,405.52,241.84
79,A,0.4788,0.0471,27.2652,0.0,0.037,0.0,34.8,12.9,61098.0,0.0,74.4,0.0,405.47,239.53
79,B,0.3947,0.0474,28.7456,0.0,0.0588,0.0,28.4,13.0,63911.5,0.0,117.0,0.0,405.47,239.53
80,A,0.5774,0.0141,28.9792,0.0,0.0574,0.0,40.9,3.8,63260.7,0.0,112.5,0.0,405.43,237.22
80,B,0.4537,0.0404,28.1506,0.0447,0.109,0.0,30.9,10.4,59291.6,55.2,205.9,0.0,405.43,237.22
81,A,0.2395,0.0046,24.986,0.0,0.1146,0.0,17.5,1.3,56619.6,0.0,231.6,0.0,405.38,234.91
81,B,0.5337,0.0596,26.9823,0.0,0.1044,0.0,38.3,16.1,59664.9,0.0,207.7,0.0,405.38,234.91
82,A,0.1697,0.0256,26.6189,0.0,0.1584,0.0,11.9,6.9,58165.6,0.0,308.3,0.0,405.33,232.61
82,B,0.6118,0.0084,27.9126,0.0,0.1708,0.0,43.3,2.2,61078.3,0.0,336.6,0.0,405.33,232.61
83,A,0.4042,0.0176,26.509,0.0125,0.1043,0.0,29.3,4.8,59330.2,16.4,209.1,0.0,405.28,230.31
83,B,0.3134,0.0,26.7047,0.0,0.1005,0.0,22.2,0.0,58546.6,0.0,196.8,0.0,405.28,230.31
84,A,0.4732,0.057,31.503,0.0,0.0897,0.0,30.9,14.1,63329.3,0.0,161.7,0.0,405.24,228.01
84,B,0.3332,0.0363,28.2878,0.0,0.0073,0.004,24.0,10.0,62875.4,0.0,14.4,3.1,405.24,228.01
85,A,0.6306,0.0349,33.3417,0.0,0.0581,0.0,39.3,8.2,63831.6,0.0,100.0,0.0,405.19,225.71
85,B,0.4278,0.0192,29.143,0.0,0.0452,0.0,30.2,5.1,63476.6,0.0,88.0,0.0,405.19,225.71
86,A,0.3273,0.0364,28.2391,0.0,0.0211,0.0,24.0,10.2,63950.2,0.0,42.6,0.0,405.15,223.42
86,B,0.2476,0.0276,28.5944,0.0,0.0463,0.0,17.8,7.6,63558.9,0.0,91.7,0.0,405.15,223.42
87,A,0.4739,0.0449,27.3125,0.0,0.0376,0.0,34.4,12.3,61175.0,0.0,75.6,0.0,405.1,221.14
87,B,0.4034,0.0719,29.3277,0.0,0.014,0.0,28.8,19.5,64530.3,0.0,27.5,0.0,405.1,221.14
88,A,0.5039,0.083,29.3928,0.0,0.0469,0.0,33.1,20.6,59574.2,0.0,85.3,0.0,405.05,218.85
88,B,0.6019,0.0285,29.9095,0.0,0.1167,0.0,40.6,7.2,62215.0,0.0,218.4,0.0,405.05,218.85
89,A,0.662,0.0448,26.9931,0.0,0.0691,0.0,48.2,12.2,60523.5,0.0,139.9,0.0,405.01,216.57
89,B,0.515,0.044,28.3959,0.0,0.0792,0.0,37.2,12.0,63263.9,0.0,158.5,0.0,405.01,216.57
90,A,0.3609,0.0402,27.6764,0.0,0.0772,0.0051,26.5,11.2,62920.7,0.0,157.0,4.0,404.96,214.3
90,B,0.529,0.0521,29.3283,0.0,0.0917,0.0,36.8,13.7,62963.0,0.0,176.9,0.0,404.96,214.3
91,A,0.2264,0.0066,27.2356,0.0,0.0669,0.0,17.0,1.9,63154.9,0.0,138.1,0.0,404.92,212.02
91,B,0.2442,0.0479,29.495,0.0,0.0741,0.0072,17.0,12.8,63331.0,0.0,142.0,5.4,404.92,212.02
92,A,0.2961,0.0172,28.7543,0.0173,0.1272,0.0,20.9,4.7,62922.2,22.1,248.6,0.0,404.87,209.76
92,B,0.4246,0.022,27.3188,0.0231,0.1292,0.0,31.9,6.2,63376.1,31.4,268.6,0.0,404.87,209.76
93,A,0.4196,0.0752,26.8994,0.0016,0.0758,0.0,30.5,20.7,60253.8,2.1,152.5,0.0,404.83,207.49
93,B,0.4082,0.0525,26.095,0.0,0.0653,0.0,29.4,14.4,58088.9,0.0,130.3,0.0,404.83,207.49
94,A,0.2288,0.053,28.7009,0.0,0.0831,0.0,15.4,13.7,59769.3,0.0,154.3,0.0,404.78,205.23
94,B,0.4938,0.0038,27.1499,0.0,0.0486,0.0062,35.7,1.0,60514.2,0.0,97.2,4.8,404.78,205.23
95,A,0.415,0.0123,28.8075,0.0,0.0527,0.0296,27.6,3.1,59070.4,0.0,96.8,21.2,404.73,202.97
95,B,0.2698,0.057,26.4253,0.0,0.026,0.0106,19.6,15.8,59188.9,0.0,52.1,8.3,404.73,202.97
96,A,0.5319,0.0566,28.2291,0.0,0.0481,0.0071,39.0,15.7,63687.0,0.0,97.7,5.6,404.69,200.72
96,B,0.2174,0.0564,27.5268,0.0,0.0399,0.0031,16.4,16.3,64170.5,0.0,82.9,2.5,404.69,200.72
97,A,0.2451,0.0395,29.2017,0.0,0.0586,0.0,17.4,10.7,63939.8,0.0,114.3,0.0,404.64,198.47
97,B,0.1316,0.0443,24.8714,0.0,0.04,0.0,10.8,14.0,63405.8,0.0,90.8,0.0,404.64,198.47
98,A,0.6119,0.0352,31.8297,0.0,0.0648,0.0197,38.8,8.4,62017.1,0.0,113.6,13.3,404.6,196.22
98,B,0.4681,0.0746,31.1827,0.0,0.0518,0.0,31.1,18.8,63735.1,0.0,95.1,0.0,404.6,196.22
99,A,0.4588,0.045,29.8607,0.0,0.0787,0.0,31.9,11.8,63969.7,0.0,151.1,0.0,404.55,193.98
99,B,0.7119,0.0897,30.3024,0.0,0.0408,0.0,48.6,23.0,63551.1,0.0,77.3,0.0,404.55,193.98
100,A,0.5233,0.0674,29.6098,0.0,0.0799,0.0015,36.6,17.8,63813.1,0.0,154.9,1.1,404.51,191.74
100,B,0.5963,0.0445,28.3656,0.0,0.0319,0.0,43.5,12.2,63596.0,0.0,64.4,0.0,404.51,191.74
101,A,0.5859,0.0785,34.2466,0.0,0.0748,0.0,35.3,17.8,63436.3,0.0,124.5,0.0,404.46,189.5
101,B,0.5168,0.0396,28.1468,0.0,0.0457,0.0,37.6,10.9,63097.9,0.0,92.0,0.0,404.46,189.5
102,A,0.7874,0.0657,31.5931,0.0,0.0628,0.0,50.6,15.8,62362.6,0.0,111.9,0.0,404.41,187.27
102,B,0.3522,0.0457,29.0517,0.0,0.0462,0.0,25.0,12.4,63632.5,0.0,90.5,0.0,404.41,187.27
103,A,0.4114,0.0498,27.4429,0.0,0.0239,0.0081,29.9,13.7,61517.9,0.0,47.9,6.4,402.06,187.28
103,B,0.2305,0.0146,28.682,0.0,0.023,0.0,16.6,4.0,63746.4,0.0,45.6,0.0,402.06,187.28
104,A,0.2915,0.0266,28.9871,0.0,0.0297,0.0,20.6,7.2,63185.5,0.0,57.9,0.0,402.1,189.51
104,B,0.5007,0.0483,28.3756,0.0,0.0247,0.0,36.3,13.2,63275.1,0.0,49.4,0.0,402.1,189.51
105,A,0.0,0.0,21.1499,0.0,0.0295,0.0,0.0,0.0,62521.2,0.0,77.2,0.0,402.15,191.75
105,B,0.4558,0.025,29.3366,0.0,0.062,0.0,32.2,6.7,63873.2,0.0,121.0,0.0,402.15,191.75
106,A,0.5101,0.0,29.1262,0.0,0.0515,0.0,36.1,0.0,63606.6,0.0,100.8,0.0,402.19,193.99
106,B,0.334,0.0428,27.4361,0.0,0.0284,0.0089,25.2,12.3,63881.5,0.0,59.1,7.2,402.19,193.99
107,A,0.2445,0.0103,27.8712,0.0055,0.0304,0.0,18.1,2.9,63728.9,7.3,61.8,0.0,402.23,196.24
