PMC,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
167,0.3668,0.0206,24.5388,0.0476,0.5807,0.004,25.3,5.4,53217.6,61.2,1132.9,3,404.97,337.58
168,0.3645,0.0666,26.3989,0.004,0.0624,0.005,26.5,18.4,59167.1,5.2,125.3,3.9,405.02,340.05
169,0.3136,0.0685,26.7612,0.0053,0.3457,0,22.4,18.7,59438.4,6.9,689.1,0,405.07,342.53
170,0.3039,0.0087,23.0701,0.0363,0.425,0,21.3,2.3,50716.1,47.1,838,0,405.12,345.02
171,0.5351,0,20.1615,0.0077,0.3883,0.072,37.2,0,43634,9.9,764.8,53.2,405.17,347.5
172,0.5367,0.0348,10.6469,0.0227,0.281,0.2248,35.9,8.5,22055.6,29.3,551.1,155.8,405.21,349.99
173,0.3939,0.0444,20.4046,0,0.1157,0.1007,27.7,11.8,44465.4,0,228.1,75.9,405.26,352.48
174,0.4675,0.0321,27.6007,0,0.281,0,32.5,8.4,59435.8,0,544,0,405.31,354.99
175,0.4201,0.0236,25.3396,0.0653,0.5658,0.0221,29.6,6.3,56029.4,85.8,1127.5,16.8,405.36,357.49
176,0.4022,0.0499,24.1074,0.0271,0.7522,0,28,13.2,52934.8,35.6,1493,0,405.41,359.99
177,0.3311,0.0622,24.8038,0.0114,0.5347,0.0236,23.2,16.6,54516.5,14.8,1059,17.9,405.46,362.5
178,0.29,0.0559,23.4087,0.0136,0.3723,0.016,20.5,15.1,51733.8,17.8,739.1,12.2,405.5,365.02
179,0.3784,0.006,25.1696,0.032,0.4965,0.0111,26.7,1.6,55576.4,41.8,985.3,8.5,405.56,367.54
180,0.3447,0.0259,26.6064,0.0357,0.477,0,23.7,6.8,57222.4,45.3,920.7,0,405.6,370.06
181,0.2138,0.0116,24.3061,0.0394,0.349,0.0024,15,3.1,53469.1,50.9,685.7,1.8,405.65,372.58
182,0.3259,0.0349,24.984,0,0.1341,0.0318,23.4,9.5,55490.7,0,267,24.7,405.7,375.12
183,0.6482,0.0674,30.9133,0.0172,0.0643,0.0119,43.1,16.8,63102.9,20.7,118.2,8.4,405.75,377.66
184,0.5068,0.0289,26.6502,0,0.0428,0,36.9,7.9,59737.4,0,86.1,0,405.8,380.2
185,0.3166,0.0786,26.8679,0.0558,0.2152,0.0095,22.7,21.5,59699.2,72.9,428.8,7.4,405.85,382.73
186,0.2864,0.0637,23.4162,0.0168,0.3601,0,20.1,17,51265.9,21.6,707.6,0,405.9,385.28
187,0.3137,0.0343,23.7599,0.0267,0.5308,0.0026,21.9,9.1,52128.7,34.6,1047.3,2,405.95,387.84
188,0.2912,0.0532,23.1869,0.069,1.0285,0.008,20,14,50846.2,91,2039.5,6,406,390.4
189,0.6515,0.0445,23.0017,0.0286,0.5995,0.0097,46,11.7,50882.2,37.9,1206.6,7.3,406.05,392.96
190,0.5803,0.0514,24.4504,0,0.1541,0,39.2,13.1,51026.5,0,290.8,0,406.1,395.52
191,0.389,0.0357,25.7247,0,0.0796,0,27.4,9.5,55944.2,0,155.1,0,406.15,398.09
192,0.3376,0.0196,27.2047,0,0.0808,0,24.1,5.3,59981.4,0,159.2,0,406.2,400.66
193,0.4224,0.015,25.1623,0.0771,0.5508,0,29.8,4,55590.4,101.1,1095,0,406.25,403.24
194,0.3796,0.0422,26.8282,0.0372,0.3984,0,26.6,11.2,58644.2,47.9,781.5,0,406.3,405.82
195,0.4384,0.048,29.6471,0,0.0766,0,29.9,12.4,62326.2,0,144.3,0,406.35,408.41
196,0.3895,0.0438,24.0136,0.075,0.603,0.0038,27.1,11.6,52568.4,97.7,1189.6,2.9,406.4,411
197,0.2575,0.0061,23.5131,0.109,0.4251,0,18,1.6,51488,140.9,833.2,0,406.45,413.6
198,0.3592,0.0377,23.8318,0.0792,0.4492,0,25.3,10.1,52611.4,103.6,891.6,0,406.5,416.2
199,0.4017,0.0159,24.4572,0.1063,0.7012,0.0167,27.9,4.2,53500.9,138.9,1383.9,12.5,403.95,416.21
200,0.4203,0.0361,24.4851,0.1323,0.3051,0.0224,29.2,9.5,53038.4,169.7,594.4,16.7,403.91,413.61
201,0.3814,0.0873,26.8019,0.0959,0.3464,0,26.5,23.1,57966.3,122.5,673.5,0,403.86,411.01
202,0.3555,0,23.0834,0,0.3536,0,24.9,0,50431.4,0,693.6,0,403.81,408.42
203,0.2949,0.0107,26.4467,0.0441,0.2399,0.0111,20.6,2.8,57444.7,56.2,466.2,8.4,403.76,405.84
204,0.3419,0.0142,26.1019,0.0119,0.5542,0,24,3.8,57310.4,15.5,1093.8,0,403.71,403.25
205,0.3046,0.0262,25.7661,0,0.1691,0.0092,22,7.2,57632.9,0,338.6,7.2,403.67,400.68
206,0.2881,0.0296,21.9176,0.0731,0.8542,0.0119,20,7.9,48388.4,96.6,1701.7,9,403.62,398.1
207,0.3495,0.0209,24.214,0.0776,0.8033,0.0164,24.1,5.5,52784.1,101,1579,12.2,403.57,395.53
208,0.478,0.0176,24.7397,0.0072,0.3455,0,33.1,4.6,53388.2,9.2,671.4,0,403.52,392.96
209,0.3029,0.0108,25.5686,0.0233,0.4909,0.0103,21.1,2.9,55826.4,30,961,7.8,403.48,390.41
210,0.5486,0.0354,26.5856,0.0442,0.4431,0,38.1,9.2,57462.6,56.6,864.3,0,403.43,387.85
211,0.2791,0.0244,21.3241,0.0965,0.9846,0.0107,19.3,6.4,47085.8,128.3,1964.2,8,403.38,385.29
212,0.3314,0.0107,22.0068,0.0578,0.8505,4e-04,22.8,2.8,48054.1,75.5,1676.5,0.3,403.33,382.75
213,0.3999,0.0181,28.7555,0,0.0774,0,28.3,4.9,62815.1,0,151.2,0,403.29,380.21
214,0.5062,0.027,31.3657,0,0.0559,0,33.1,6.7,63189.1,0,100.9,0,403.24,377.66
215,0.099,0.06,27.2231,0,0.133,0.0081,6.9,16.4,59954.7,0,260.7,6.3,403.19,375.13
216,0.3028,0.014,26.4143,0.0114,0.3703,0,21.4,3.8,58207.6,14.8,730.1,0,403.15,372.6
217,0.3489,0.0196,25.8694,0,0.545,0.007,24.3,5.2,56438.9,0,1069,5.3,403.1,370.07
218,0.2634,0.0253,25.0964,0.0141,0.4683,0.0166,18.5,6.8,55016.8,18.3,921.1,12.7,403.05,367.55
219,0.27,0.0172,23.3654,0.0011,0.4026,0,18.8,4.6,51076.1,1.4,788.6,0,403.01,365.03
220,0.2536,0,25.8318,0.0372,0.4263,0.0089,18,0,57220.1,48.5,845.2,6.9,402.96,362.51
221,0.2491,0.0464,25.4183,0.0332,0.6257,0,17.3,12.3,55508.7,42.9,1226.6,0,402.91,360
222,0.3753,0.0465,25.8083,0.0214,0.5678,0,26.1,12.3,56183.6,27.6,1112.5,0,402.86,357.49
223,0.3182,0.033,26.5795,0,0.2049,0.0022,22.3,8.8,57794.7,0,399,1.7,402.82,354.99
224,0.3694,0.0092,27.5102,0,0.0645,0,27.4,2.6,63129.1,0,132.4,0,402.77,352.49
225,0.5072,0.0253,25.1282,0.0517,0.5712,0.02,35.6,6.7,55139.7,67.6,1133.2,15,402.73,350.01
226,0.3314,0.0224,21.6468,0.1291,1.2302,0.0239,22.9,5.9,48020.5,174.2,2476.7,17.8,402.68,347.51
227,0.3806,0.0474,24.5855,0.0572,0.7154,0.0138,26.6,12.6,54057.9,75,1420.4,10.4,402.63,345.03
228,0.2457,0.0431,25.4358,0.036,0.5168,0.0132,17.4,11.7,56344.3,47.2,1027.4,10.1,402.59,342.55
229,0.3561,0.0064,25.31,0.0169,0.2277,0.0027,25.3,1.7,55824.1,21.9,449.8,2.1,402.54,340.07
230,0.4304,0,27.9727,0,0.0655,0,28.8,0,57791.8,0,121,0,402.5,337.6
231,0.2703,0.0486,24.9594,0.0681,0.7237,0.0045,19.1,13.2,55687.4,90.3,1452.9,3.5,402.44,335.12
232,0.436,0.0298,23.4378,0.1025,0.9344,0.0084,30.4,7.9,51956.3,136.9,1875.8,6.3,402.4,332.66
233,0.2364,0.0527,20.6414,0.1419,1.5559,0.0237,16.1,13.7,45699.9,193,3134,17.4,402.35,330.19
234,0.4372,0.0565,19.4979,0.2035,1.7999,0.0225,29.4,14.4,43090.4,281.5,3655,16.1,402.31,327.74
235,0.3839,0.0141,23.7841,0.0697,0.8422,0.02,26.9,3.7,52627.2,92.3,1684.7,15,402.26,325.29
236,0.2228,0.058,25.5744,0.0071,0.1929,0.0011,15.9,15.9,56841.2,9.2,383.1,0.8,402.22,322.84
237,0.3314,0.02,25.0697,0.0357,0.7139,0,23.3,5.4,55523.7,47,1422.7,0,402.17,320.39
238,0.3758,0.063,26.9915,0,0.2535,0,26.4,16.8,58853.9,0,496.4,0,402.12,317.95
239,0.1899,0.0433,26.9981,0,0.2734,0,13.7,12,60437.1,0,546.3,0,402.09,315.52
240,0.2263,0.0379,20.5789,0.0519,1.0556,0.0245,15.5,9.9,45045.9,68.5,2090.7,18.1,402.04,313.08
241,0.5677,0.0473,27.4053,0.0224,0.388,0,39.2,12.3,58789.7,28.5,751.3,0,401.99,310.65
242,0.6864,0.0448,28.7603,0,0.2486,0,47.1,11.5,60981.6,0,475.9,0,401.95,308.23
243,0.503,0.018,24.0552,0.0263,0.389,0.0061,34.9,4.7,52097.8,33.8,760,4.6,401.9,305.8
244,0.5687,0.0447,23.4555,0.0297,0.3207,0.013,40.3,11.9,51702.2,38.9,639.7,9.8,401.85,303.38
245,0.2656,0.0142,24.4966,0.1069,0.6825,0.0104,18.7,3.8,54320.6,140.9,1358.2,8,401.82,300.97
246,0.511,0.0704,25.8147,0.0173,0.6297,0.0105,35.8,18.7,56632.9,22.6,1251.7,7.9,401.77,298.56
247,0.3017,0.0625,26.3946,0,0.1543,0.0086,22.1,17.5,60041.2,0,314.3,6.8,401.73,296.16
