PMC,Mg,Al,Ca,Ti,Fe,Si,image_i,image_j
170,0.3039,0.0087,23.0701,0.0363,0.425,0.0,405.12,345.02
171,0.5351,0.0,20.1615,0.0077,0.3883,0.072,405.17,347.5
172,0.5367,0.0348,10.6469,0.0227,0.281,0.2248,405.21,349.99
173,0.3939,0.0444,20.4046,0.0,0.1157,0.1007,405.26,352.48
174,0.4675,0.0321,27.6007,0.0,0.281,0.0,405.31,354.99
175,0.4201,0.0236,25.3396,0.0653,0.5658,0.0221,405.36,357.49
176,0.4022,0.0499,24.1074,0.0271,0.7522,0.0,405.41,359.99
177,0.3311,0.0622,24.8038,0.0114,0.5347,0.0236,405.46,362.5
178,0.29,0.0559,23.4087,0.0136,0.3723,0.016,405.5,365.02
179,0.3784,0.006,25.1696,0.032,0.4965,0.0111,405.56,367.54
180,0.3447,0.0259,26.6064,0.0357,0.477,0.0,405.6,370.06
181,0.2138,0.0116,24.3061,0.0394,0.349,0.0024,405.65,372.58
182,0.3259,0.0349,24.984,0.0,0.1341,0.0318,405.7,375.12
183,0.6482,0.0674,30.9133,0.0172,0.0643,0.0119,405.75,377.66
184,0.5068,0.0289,26.6502,0.0,0.0428,0.0,405.8,380.2
185,0.3166,0.0786,26.8679,0.0558,0.2152,0.0095,405.85,382.73
186,0.2864,0.0637,23.4162,0.0168,0.3601,0.0,405.9,385.28
187,0.3137,0.0343,23.7599,0.0267,0.5308,0.0026,405.95,387.84
188,0.2912,0.0532,23.1869,0.069,1.0285,0.008,406.0,390.4
189,0.6515,0.0445,23.0017,0.0286,0.5995,0.0097,406.05,392.96
190,0.5803,0.0514,24.4504,0.0,0.1541,0.0,406.1,395.52
191,0.389,0.0357,25.7247,0.0,0.0796,0.0,406.15,398.09
192,0.3376,0.0196,27.2047,0.0,0.0808,0.0,406.2,400.66
193,0.4224,0.015,25.1623,0.0771,0.5508,0.0,406.25,403.24
194,0.3796,0.0422,26.8282,0.0372,0.3984,0.0,406.3,405.82
195,0.4384,0.048,29.6471,0.0,0.0766,0.0,406.35,408.41
196,0.3895,0.0438,24.0136,0.075,0.603,0.0038,406.4,411.0
197,0.2575,0.0061,23.5131,0.109,0.4251,0.0,406.45,413.6
198,0.3592,0.0377,23.8318,0.0792,0.4492,0.0,406.5,416.2
199,0.4017,0.0159,24.4572,0.1063,0.7012,0.0167,403.95,416.21
